customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,comments,Offers
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,"Customer 10 pays 49.95 monthly, showing ongoing interest in their short-term plan.","Family & Dependents Bundle: Discounted additional family lines, Unlimited Phone Plan: 50% discount on an additional line, Premium Security Package: 3 months free Online Security/Tech Support, Month-to-Month Offer: Free upgrade for switching to a 1-year contract"
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,"Despite spending 18.95 monthly, Customer 11 might look for alternative plans.","Premium Security Package: 3 months free Online Security/Tech Support, Unlimited Phone Plan: 50% discount on an additional line, Streaming Bundle: Free 2-month streaming subscription"
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,"Customer 12 pays 100.35 monthly, showing ongoing interest in their annual plan.","Long-Term Discount: 10-20% off for a 12-month contract, High Monthly Spender: Cashback or loyalty points, Premium Security Package: 3 months free Online Security/Tech Support"
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,"Customer 13 pays 103.7 monthly, showing commitment in their short-term plan.","Long-Term Discount: 10-20% off for a 12-month contract, High Monthly Spender: Cashback or loyalty points, Premium Security Package: 3 months free Online Security/Tech Support, Month-to-Month Offer: Free upgrade for switching to a 1-year contract"
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,"Customer 14 pays 105.5 monthly, showing commitment in their short-term plan.","Unlimited Phone Plan: 50% discount on an additional line, Auto-Pay Incentive: $5/month discount for switching to auto-pay, High Monthly Spender: Cashback or loyalty points, Long-Term Discount: 10-20% off for a 12-month contract"
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,Our records indicate Customer 15 has been paying 113.25 under a long-term contract.,"Long-Term Discount: 10-20% off for a 12-month contract, High Monthly Spender: Cashback or loyalty points, Family & Dependents Bundle: Discounted additional family lines"
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,"Despite spending 20.65 monthly, Customer 16 might look for better pricing.","Premium Security Package: 3 months free Online Security/Tech Support, Unlimited Phone Plan: 50% discount on an additional line, Auto-Pay Incentive: $5/month discount for switching to auto-pay"
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,"Customer 17 is on a long-term contract and has paid 7382.25 so far, making them a possible churn risk.","Long-Term Discount: 10-20% off for a 12-month contract, High Monthly Spender: Cashback or loyalty points, Premium Security Package: 3 months free Online Security/Tech Support"
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,"Customer 18, being regular, might require more flexible options for better experience.","Premium Security Package: 3 months free Online Security/Tech Support, High Churn Risk: Loyalty bonuses or priority customer support, Unlimited Phone Plan: 50% discount on an additional line, Family & Dependents Bundle: Discounted additional family lines"
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,"Having spent 1862.9, Customer 19 with a short-term contract might expect a a discount.","Long-Term Discount: 10-20% off for a 12-month contract, Unlimited Phone Plan: 50% discount on an additional line, Premium Security Package: 3 months free Online Security/Tech Support, High Monthly Spender: Cashback or loyalty points"
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,"Customer 20 has 39.65 in total charges, indicating they engaged.","Month-to-Month Offer: Free upgrade for switching to a 1-year contract, Senior Citizen Discount: 5% off total bills, Low Tenure Retention: 15% discount for 3 months, Premium Security Package: 3 months free Online Security/Tech Support"
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,Our records indicate Customer 21 has been paying 19.8 under a annual contract.,"Premium Security Package: 3 months free Online Security/Tech Support, Unlimited Phone Plan: 50% discount on an additional line, Month-to-Month Offer: Free upgrade for switching to a 1-year contract"
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,"Despite spending 20.15 monthly, Customer 22 might look for additional features.","Low Engagement Offer: Free trials for Tech Support/Device Protection, Month-to-Month Offer: Free upgrade for switching to a 1-year contract, Auto-Pay Incentive: $5/month discount for switching to auto-pay, Premium Security Package: 3 months free Online Security/Tech Support"
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,"Having spent 3505.1, Customer 23 with a long-term contract might expect a a reward.","Premium Security Package: 3 months free Online Security/Tech Support, Streaming Bundle: Free 2-month streaming subscription, Unlimited Phone Plan: 50% discount on an additional line"
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,"With a total charge of 2970.3, Customer 24 is a valued regular user on a short-term contract.","Unlimited Phone Plan: 50% discount on an additional line, Month-to-Month Offer: Free upgrade for switching to a 1-year contract, Family & Dependents Bundle: Discounted additional family lines"
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,"Customer 25 is on a short-term contract and has paid 1530.6 so far, making them a frequent user.","Premium Security Package: 3 months free Online Security/Tech Support, Unlimited Phone Plan: 50% discount on an additional line, Month-to-Month Offer: Free upgrade for switching to a 1-year contract"
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,"Having spent 4749.15, Customer 26 with a short-term contract might expect a a better offer.","Month-to-Month Offer: Free upgrade for switching to a 1-year contract, Premium Security Package: 3 months free Online Security/Tech Support, Auto-Pay Incentive: $5/month discount for switching to auto-pay, Long-Term Discount: 10-20% off for a 12-month contract"
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,"Customer 27 pays 30.2 monthly, showing commitment in their short-term plan.","Auto-Pay Incentive: $5/month discount for switching to auto-pay, Low Engagement Offer: Free trials for Tech Support/Device Protection, Premium Security Package: 3 months free Online Security/Tech Support, Low Tenure Retention: 15% discount for 3 months"
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,"Despite spending 90.25 monthly, Customer 28 might look for better pricing.","Long-Term Discount: 10-20% off for a 12-month contract, High Monthly Spender: Cashback or loyalty points, Premium Security Package: 3 months free Online Security/Tech Support"
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,"Customer 29, being regular, might require more flexible options for better experience.","Premium Security Package: 3 months free Online Security/Tech Support, Unlimited Phone Plan: 50% discount on an additional line, Month-to-Month Offer: Free upgrade for switching to a 1-year contract, Auto-Pay Incentive: $5/month discount for switching to auto-pay"
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,"Despite spending 96.35 monthly, Customer 30 might look for better pricing.","Long-Term Discount: 10-20% off for a 12-month contract, High Monthly Spender: Cashback or loyalty points, Streaming Bundle: Free 2-month streaming subscription, Senior Citizen Discount: 5% off total bills"
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,"Despite spending 95.5 monthly, Customer 31 might look for additional features.","Premium Security Package: 3 months free Online Security/Tech Support, Month-to-Month Offer: Free upgrade for switching to a 1-year contract, Low Engagement Offer: Free trials for Tech Support/Device Protection, High Monthly Spender: Cashback or loyalty points"
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,"With a annual plan, Customer 32 has spent 1874.45 and is neutral.","Unlimited Phone Plan: 50% discount on an additional line, Auto-Pay Incentive: $5/month discount for switching to auto-pay, Family & Dependents Bundle: Discounted additional family lines"
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,Our records indicate Customer 33 has been paying 20.2 under a short-term contract.,"Unlimited Phone Plan: 50% discount on an additional line, Month-to-Month Offer: Free upgrade for switching to a 1-year contract, Premium Security Package: 3 months free Online Security/Tech Support, Low Tenure Retention: 15% discount for 3 months"
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,"Despite spending 45.25 monthly, Customer 34 might look for better pricing.","Senior Citizen Discount: 5% off total bills, Low Engagement Offer: Free trials for Tech Support/Device Protection, Month-to-Month Offer: Free upgrade for switching to a 1-year contract, Unlimited Phone Plan: 50% discount on an additional line"
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,"Customer 35 has 7251.7 in total charges, indicating they engaged.","Long-Term Discount: 10-20% off for a 12-month contract, High Monthly Spender: Cashback or loyalty points, Family & Dependents Bundle: Discounted additional family lines"
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,"Customer 36 has 316.9 in total charges, indicating they exploring options.","Premium Security Package: 3 months free Online Security/Tech Support, Low Tenure Retention: 15% discount for 3 months, Unlimited Phone Plan: 50% discount on an additional line, Month-to-Month Offer: Free upgrade for switching to a 1-year contract"
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,Our records indicate Customer 37 has been paying 74.8 under a short-term contract.,"Streaming Bundle: Free 2-month streaming subscription, Month-to-Month Offer: Free upgrade for switching to a 1-year contract, High Monthly Spender: Cashback or loyalty points, Unlimited Phone Plan: 50% discount on an additional line"
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,"Customer 38, being regular, might require a customized plan for better experience.","Month-to-Month Offer: Free upgrade for switching to a 1-year contract, High Monthly Spender: Cashback or loyalty points, Auto-Pay Incentive: $5/month discount for switching to auto-pay, Premium Security Package: 3 months free Online Security/Tech Support"
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,"Customer 39 is on a short-term contract and has paid 1105.4 so far, making them a possible churn risk.","High Monthly Spender: Cashback or loyalty points, Premium Security Package: 3 months free Online Security/Tech Support, Month-to-Month Offer: Free upgrade for switching to a 1-year contract, High Churn Risk: Loyalty bonuses or priority customer support"
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,"Having spent 475.7, Customer 40 with a annual contract might expect a a discount.","Premium Security Package: 3 months free Online Security/Tech Support, Unlimited Phone Plan: 50% discount on an additional line, Auto-Pay Incentive: $5/month discount for switching to auto-pay, Family & Dependents Bundle: Discounted additional family lines"
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,"Despite spending 69.2 monthly, Customer 41 might look for better pricing.","Premium Security Package: 3 months free Online Security/Tech Support, Family & Dependents Bundle: Discounted additional family lines, Auto-Pay Incentive: $5/month discount for switching to auto-pay"
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,"Customer 42 is on a annual contract and has paid 418.25 so far, making them a possible churn risk.","Premium Security Package: 3 months free Online Security/Tech Support, Unlimited Phone Plan: 50% discount on an additional line, Auto-Pay Incentive: $5/month discount for switching to auto-pay, Family & Dependents Bundle: Discounted additional family lines"
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,Our records indicate Customer 43 has been paying 79.85 under a long-term contract.,"Long-Term Discount: 10-20% off for a 12-month contract, High Monthly Spender: Cashback or loyalty points, Auto-Pay Incentive: $5/month discount for switching to auto-pay"
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,"Having spent 981.45, Customer 44 with a short-term contract might expect a a reward.","Long-Term Discount: 10-20% off for a 12-month contract, High Monthly Spender: Cashback or loyalty points, Month-to-Month Offer: Free upgrade for switching to a 1-year contract, Auto-Pay Incentive: $5/month discount for switching to auto-pay"
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,"Having spent 3906.7, Customer 45 with a short-term contract might expect a a discount.","Month-to-Month Offer: Free upgrade for switching to a 1-year contract, Auto-Pay Incentive: $5/month discount for switching to auto-pay, Premium Security Package: 3 months free Online Security/Tech Support, High Monthly Spender: Cashback or loyalty points"
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,"Having spent 97.0, Customer 46 with a short-term contract might expect a a discount.","Low Engagement Offer: Free trials for Tech Support/Device Protection, Month-to-Month Offer: Free upgrade for switching to a 1-year contract, Premium Security Package: 3 months free Online Security/Tech Support, Auto-Pay Incentive: $5/month discount for switching to auto-pay"
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,"Customer 47 pays 80.65 monthly, showing commitment in their short-term plan.","High Churn Risk: Loyalty bonuses or priority customer support, Unlimited Phone Plan: 50% discount on an additional line, Low Engagement Offer: Free trials for Tech Support/Device Protection, Premium Security Package: 3 months free Online Security/Tech Support"
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,"With a long-term plan, Customer 48 has spent 4217.8 and is satisfied.","Long-Term Discount: 10-20% off for a 12-month contract, High Monthly Spender: Cashback or loyalty points, Unlimited Phone Plan: 50% discount on an additional line"
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,"Having spent 4254.1, Customer 49 with a long-term contract might expect a a reward.","Family & Dependents Bundle: Discounted additional family lines, High Monthly Spender: Cashback or loyalty points, Month-to-Month Offer: Free upgrade for switching to a 1-year contract"
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,"Customer 50 has 3838.75 in total charges, indicating they engaged.","High Monthly Spender: Cashback or loyalty points, Auto-Pay Incentive: $5/month discount for switching to auto-pay, Premium Security Package: 3 months free Online Security/Tech Support, Long-Term Discount: 10-20% off for a 12-month contract"
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,"With a total charge of 1426.4, Customer 51 is a valued regular user on a short-term contract.","High Monthly Spender: Cashback or loyalty points, Premium Security Package: 3 months free Online Security/Tech Support, Long-Term Discount: 10-20% off for a 12-month contract, Month-to-Month Offer: Free upgrade for switching to a 1-year contract"
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,Our records indicate Customer 52 has been paying 69.5 under a short-term contract.,"Month-to-Month Offer: Free upgrade for switching to a 1-year contract, Senior Citizen Discount: 5% off total bills, Low Engagement Offer: Free trials for Tech Support/Device Protection"
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,"With a total charge of 633.3, Customer 53 is a valued senior user on a short-term contract.","Senior Citizen Discount: 5% off total bills, Premium Security Package: 3 months free Online Security/Tech Support, Month-to-Month Offer: Free upgrade for switching to a 1-year contract, High Churn Risk: Loyalty bonuses or priority customer support"
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,"Customer 54 has 4456.35 in total charges, indicating they engaged.","Long-Term Discount: 10-20% off for a 12-month contract, Unlimited Phone Plan: 50% discount on an additional line, High Monthly Spender: Cashback or loyalty points, Senior Citizen Discount: 5% off total bills"
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,"Customer 55 has 1752.55 in total charges, indicating they exploring options.","Long-Term Discount: 10-20% off for a 12-month contract, Month-to-Month Offer: Free upgrade for switching to a 1-year contract, Senior Citizen Discount: 5% off total bills, Auto-Pay Incentive: $5/month discount for switching to auto-pay"
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,"With a annual plan, Customer 56 has spent 6311.2 and is considering alternatives.","Long-Term Discount: 10-20% off for a 12-month contract, High Monthly Spender: Cashback or loyalty points, Premium Security Package: 3 months free Online Security/Tech Support, Family & Dependents Bundle: Discounted additional family lines"
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,Our records indicate Customer 57 has been paying 108.45 under a annual contract.,"Family & Dependents Bundle: Discounted additional family lines, Long-Term Discount: 10-20% off for a 12-month contract, Senior Citizen Discount: 5% off total bills, Premium Security Package: 3 months free Online Security/Tech Support"
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,"Having spent 894.3, Customer 58 with a long-term contract might expect a a discount.","Premium Security Package: 3 months free Online Security/Tech Support, Family & Dependents Bundle: Discounted additional family lines, Low Engagement Offer: Free trials for Tech Support/Device Protection"
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,"Customer 59, being regular, might require better customer support for better experience.","Long-Term Discount: 10-20% off for a 12-month contract, High Monthly Spender: Cashback or loyalty points, Premium Security Package: 3 months free Online Security/Tech Support"
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,Our records indicate Customer 60 has been paying 100.5 under a short-term contract.,"High Monthly Spender: Cashback or loyalty points, Auto-Pay Incentive: $5/month discount for switching to auto-pay, Month-to-Month Offer: Free upgrade for switching to a 1-year contract, Premium Security Package: 3 months free Online Security/Tech Support"
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,"With a short-term plan, Customer 61 has spent 5450.7 and is neutral.","Long-Term Discount: 10-20% off for a 12-month contract, High Monthly Spender: Cashback or loyalty points, Premium Security Package: 3 months free Online Security/Tech Support, Month-to-Month Offer: Free upgrade for switching to a 1-year contract"
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,"Having spent 2962.0, Customer 62 with a long-term contract might expect a a discount.","Premium Security Package: 3 months free Online Security/Tech Support, Senior Citizen Discount: 5% off total bills, Long-Term Discount: 10-20% off for a 12-month contract"
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,"Customer 63, being regular, might require more flexible options for better experience.","Premium Security Package: 3 months free Online Security/Tech Support, Unlimited Phone Plan: 50% discount on an additional line, Family & Dependents Bundle: Discounted additional family lines"
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,"Customer 64 has 857.25 in total charges, indicating they loyal.","Month-to-Month Offer: Free upgrade for switching to a 1-year contract, High Monthly Spender: Cashback or loyalty points, High Churn Risk: Loyalty bonuses or priority customer support, Premium Security Package: 3 months free Online Security/Tech Support"
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,"With a short-term plan, Customer 65 has spent 244.1 and is neutral.","Premium Security Package: 3 months free Online Security/Tech Support, Unlimited Phone Plan: 50% discount on an additional line, Low Engagement Offer: Free trials for Tech Support/Device Protection, Auto-Pay Incentive: $5/month discount for switching to auto-pay"
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,"Customer 66 is on a annual contract and has paid 3650.35 so far, making them a possible churn risk.","Auto-Pay Incentive: $5/month discount for switching to auto-pay, High Monthly Spender: Cashback or loyalty points, Streaming Bundle: Free 2-month streaming subscription, Premium Security Package: 3 months free Online Security/Tech Support"
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,"With a long-term plan, Customer 67 has spent 2497.2 and is neutral.","Long-Term Discount: 10-20% off for a 12-month contract, Unlimited Phone Plan: 50% discount on an additional line, Premium Security Package: 3 months free Online Security/Tech Support, Auto-Pay Incentive: $5/month discount for switching to auto-pay"
